item_id,blur_score,is_blurry,phash,duplicate_group_id,is_duplicate
allenward_twitter_5ccee06d,1644.6,False,a778fa87c933c0c1,81,False
alliebeau_twitter_2804d35f,400.72,False,c6ee5164502dabb5,82,False
allurazama_twitter_73d7185e,1629.94,False,f8506bb4a3b51879,83,False
almowhed_twitter_c45a2e68,280.98,False,e79d588c314c9b74,84,False
alneil_twitter_ba9cc75c,139.28,False,c7191e26266a7abc,85,False
alopezxiv_twitter_0c6a1ab6,414.66,False,a9d466e7497aa0b2,86,False
alqassimnakheel_twitter_9306e3f2,504.09,False,f85685a15b59e926,87,False
alsadekeen_twitter_2e160f1e,344.27,False,c9b36e69a61e18e1,88,False
alvaroangulo_twitter_5f5bdab1,854.55,False,e36b8d36923293c9,89,False
alvarodequeiroz_twitter_1e24ade1,901.12,False,acf49947b4d16135,90,False
alvaropascual84_twitter_704f65d7,194.79,False,9b552e6947ac3d42,91,False
alvarovalladares_twitter_ad13c2d6,147.67,False,c1dac98d042fd7b8,92,False
alvinkclee_twitter_7f53fb5b,468.02,False,95826a693f642e97,93,False
alyssawelch_twitter_6301db92,275.93,False,f3f0078395c70c6b,94,False
amaliorodriguez_twitter_a86e801a,1950.21,False,cecc783833672317,95,False
amandablain_twitter_7ee6d79c,774.3,False,bd9062219667da6b,96,False
amandaloy_twitter_fad7c2e7,979.47,False,8f10b6cf93e856a1,97,False
amandamcunningham_twitter_ba83152d,1530.37,False,af7010f4533658de,98,False
amandavo_twitter_ec7b1e46,510.42,False,9c5909627176c6f5,99,False
amateurx_twitter_19b7c0ee,555.31,False,e9a034c78bd3c729,100,False
ambassadorbruny_twitter_4fb128d7,510.97,False,e6b01a4fa1971e78,101,False
amberdavis_twitter_e64d2db4,386.65,False,94303f13f5c2ce4e,102,False
amberhewitt_twitter_bd83478e,331.4,False,cb2c3c93676c6698,103,False
amerzdralovic_twitter_5b6d9083,1198.93,False,b9896626a8a69b9b,104,False
amirabet_twitter_21c8f27b,688.32,False,c88f7e9825cf6225,105,False
amrinlong_twitter_5927d443,124.77,False,c47b2ef53224d32c,106,False
amyhadiastuti_twitter_a988038c,945.01,False,c94d6c87832b976c,107,False
amyripplinger_twitter_34ea0c5b,73.41,True,e42c5d9b939b6464,108,False
amyrogers_twitter_5fb8cab2,597.49,False,9a257926764adad1,109,False
amyturman_twitter_b6f8a71d,260.75,False,854faa623d645cb3,110,False
anamagal_twitter_83a2d531,695.39,False,b5cac54b850d3d69,111,False
anaparejayepes_twitter_e7233c23,2300.71,False,c378b4514b6107ef,112,False
anass_twitter_443f2560,547.24,False,db642c3126f326cb,113,False
anastasioskikidis_twitter_994028cd,547.89,False,cb6c34d020cfe8be,114,False
anbi_twitter_4dc92c81,8521.33,False,bfd082c9d0ad8bd2,115,False
andira47_twitter_3b957b31,854.57,False,e85898085c9fbb6e,116,False
andolicious_twitter_2cb3ee08,795.45,False,c6cf1d7811a06797,117,False
andreaarden_twitter_62ad21f3,1417.44,False,dbaeb8b930c470c3,118,False
andreacastelli_twitter_8b1fae71,3559.9,False,b332421d99c13f3b,119,False
andreameneghini_twitter_d28c0c3d,4342.72,False,87d7f081812d6f6a,120,False
andrearusky_twitter_2cba2bd8,307.26,False,b2fafd0b0b0c9698,121,False
andreashumala_twitter_8ef69dcc,1609.56,False,e7765ad06cb44958,122,False
andrescm_twitter_c67ee422,816.84,False,c3c73c393e1812e7,123,False
andrewjamesmorgan_twitter_bd6122d7,157.29,False,e19bb4b0309bcbc9,124,False
andrewnawoichik_twitter_e49c9e27,2559.33,False,c0d23e2d4f5b704e,125,False
andrewweiser_twitter_6470d79c,579.13,False,a49343b556b4569b,126,False
andrewwilkins_twitter_4c1f905a,2247.14,False,9e337934e5646334,127,False
