item_id,width,height,aspect_ratio,file_size_kb
amyrogers_twitter_5fb8cab2,400,400,1.0,31.1
amyturman_twitter_b6f8a71d,400,400,1.0,27.14
anamagal_twitter_83a2d531,400,400,1.0,27.22
anaparejayepes_twitter_e7233c23,400,400,1.0,33.45
anass_twitter_443f2560,400,400,1.0,23.92
anastasioskikidis_twitter_994028cd,400,400,1.0,24.87
anbi_twitter_4dc92c81,256,256,1.0,25.74
andira47_twitter_3b957b31,400,400,1.0,35.91
andolicious_twitter_2cb3ee08,334,334,1.0,25.33
andreaarden_twitter_62ad21f3,400,400,1.0,39.05
andreacastelli_twitter_8b1fae71,378,378,1.0,37.29
andreameneghini_twitter_d28c0c3d,400,400,1.0,49.28
andrearusky_twitter_2cba2bd8,400,400,1.0,24.78
andreashumala_twitter_8ef69dcc,400,400,1.0,33.41
andrescm_twitter_c67ee422,400,400,1.0,27.07
andrewjamesmorgan_twitter_bd6122d7,400,400,1.0,23.01
andrewnawoichik_twitter_e49c9e27,400,400,1.0,32.6
andrewweiser_twitter_6470d79c,400,400,1.0,25.2
andrewwilkins_twitter_4c1f905a,400,400,1.0,30.19
andrewyee_twitter_a7bdc128,353,353,1.0,49.21
andriatriv_twitter_7f378cf5,400,400,1.0,28.51
andyciordia_twitter_3617a74b,400,400,1.0,24.73
andywhyte_twitter_d6cdf502,400,400,1.0,14.9
anesanmiguel_twitter_0a5dc9b0,400,400,1.0,10.53
angelaball_twitter_2343e6f0,400,400,1.0,26.93
angelfrancia_twitter_8342048e,400,400,1.0,13.35
angelikalattner_twitter_513bb274,400,400,1.0,25.98
angelinamontanez_twitter_2611476e,400,400,1.0,35.48
anibaldelatorre_twitter_76c8fc64,400,400,1.0,42.23
anibalgoransky_twitter_0560b223,400,400,1.0,42.29
anitakilkenny_twitter_bbd94623,400,400,1.0,26.57
annamioni_twitter_23ea065e,400,400,1.0,18.79
annapfeiffer_twitter_651a1b12,400,400,1.0,31.66
annelaurejoliot_twitter_c46fc629,400,400,1.0,28.03
anoli_twitter_26ee2dff,373,373,1.0,8.35
anthonymaw_twitter_55d7788d,400,400,1.0,24.31
anthonystevven_twitter_a6515aab,400,400,1.0,25.07
anthonyvelazquez_twitter_0fcec8cc,400,400,1.0,27.5
antoninremond_twitter_c677a862,400,400,1.0,22.54
antoniodomingo_twitter_f5145330,400,400,1.0,12.21
antoniognassi_twitter_d8c8b3e8,400,400,1.0,49.58
antoniojcuevas_twitter_fbf299f8,400,400,1.0,24.67
antoniorodilla_twitter_4cca6b13,400,400,1.0,31.32
apedroza_twitter_315599f4,194,194,1.0,11.65
apetersen_twitter_166fc65e,364,364,1.0,25.88
apolorestaurante_twitter_7d136512,400,400,1.0,16.71
appleheadink_twitter_30b73000,400,400,1.0,12.79
aquatellus_twitter_b8bb9b18,400,400,1.0,17.03
aquilafare_twitter_19d7ef97,362,362,1.0,24.26
arahmahs_twitter_73151902,400,400,1.0,31.88
arcreyes_twitter_5e94c3f7,400,400,1.0,41.51
ariantifebi_twitter_658c510a,400,400,1.0,26.88
ariefbudisantoso_twitter_4fbfff42,400,400,1.0,17.29
ariefsatria_twitter_29378310,400,400,1.0,19.06
arlindopereira_twitter_8b57fc89,400,400,1.0,27.19
arnauoman_twitter_70d2510e,400,400,1.0,18.23
arnedevos_twitter_9a27b590,400,400,1.0,48.18
arqjlsm_twitter_bd7f351d,400,400,1.0,38.3
artesvisuales_twitter_3fe7bf3d,400,400,1.0,20.0
arthas_twitter_c3624ba6,400,400,1.0,38.97
artiedavis_twitter_248b89d2,400,400,1.0,17.86
arturogarrido_twitter_54cfa648,237,237,1.0,15.81
artwarriors_twitter_903b14a3,400,400,1.0,34.25
asamur_twitter_d931c2d9,400,400,1.0,31.57
asandre_twitter_7437f9e3,400,400,1.0,24.77
asbjornu_twitter_92180c6c,400,400,1.0,17.23
aschauerte_twitter_15bdf750,400,400,1.0,12.33
aseroff_twitter_e4e8e18a,240,240,1.0,10.41
asesino_twitter_7d420c17,400,400,1.0,43.11
ashisheth_twitter_fae33871,400,400,1.0,26.1
ashokkamal_twitter_fb798db2,400,400,1.0,13.91
ashreginaldevasco_twitter_c86140a5,400,400,1.0,17.79
asiace_twitter_470cebeb,400,400,1.0,17.43
