idx,username,platform,url,error,previous_error
3167,angelod1as,twitter,https://pbs.twimg.com/profile_images/686752701816913920/GCE13pb__400x400.jpg,https://unavatar.io/x/angelod1as -> HTTP 429 | https://pbs.twimg.com/profile_images/686752701816913920/GCE13pb__400x400.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/686752701816913920/GCE13pb__bigger.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/686752701816913920/GCE13pb__normal.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/686752701816913920/GCE13pb__200x200.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/686752701816913920/GCE13pb_.jpg -> HTTP 404,https://unavatar.io/x/angelod1as -> HTTP 429 | https://pbs.twimg.com/profile_images/686752701816913920/GCE13pb__400x400.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/686752701816913920/GCE13pb__bigger.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/686752701816913920/GCE13pb__normal.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/686752701816913920/GCE13pb__200x200.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/686752701816913920/GCE13pb_.jpg -> HTTP 404
3989,danielvilabril,twitter,https://pbs.twimg.com/profile_images/2202787932/facebook_400x400.jpg,https://unavatar.io/x/danielvilabril -> HTTP 429 | https://pbs.twimg.com/profile_images/2202787932/facebook_400x400.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/2202787932/facebook_bigger.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/2202787932/facebook_normal.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/2202787932/facebook_200x200.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/2202787932/facebook.jpg -> HTTP 404,https://unavatar.io/x/danielvilabril -> HTTP 429 | https://pbs.twimg.com/profile_images/2202787932/facebook_400x400.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/2202787932/facebook_bigger.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/2202787932/facebook_normal.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/2202787932/facebook_200x200.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/2202787932/facebook.jpg -> HTTP 404
228,caseycatelli,twitter,https://pbs.twimg.com/profile_images/712738110614798336/BpaLT1Ij_400x400.jpg,https://unavatar.io/x/caseycatelli -> HTTP 429 | https://pbs.twimg.com/profile_images/712738110614798336/BpaLT1Ij_400x400.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/712738110614798336/BpaLT1Ij_bigger.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/712738110614798336/BpaLT1Ij_normal.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/712738110614798336/BpaLT1Ij_200x200.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/712738110614798336/BpaLT1Ij.jpg -> HTTP 404,https://unavatar.io/x/caseycatelli -> HTTP 429 | https://pbs.twimg.com/profile_images/712738110614798336/BpaLT1Ij_400x400.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/712738110614798336/BpaLT1Ij_bigger.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/712738110614798336/BpaLT1Ij_normal.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/712738110614798336/BpaLT1Ij_200x200.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/712738110614798336/BpaLT1Ij.jpg -> HTTP 404
3515,breroz,twitter,https://pbs.twimg.com/profile_images/870776466207723521/_ahHwQ13_400x400.jpg,https://unavatar.io/x/breroz -> HTTP 429 | https://pbs.twimg.com/profile_images/870776466207723521/_ahHwQ13_400x400.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/870776466207723521/_ahHwQ13_bigger.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/870776466207723521/_ahHwQ13_normal.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/870776466207723521/_ahHwQ13_200x200.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/870776466207723521/_ahHwQ13.jpg -> HTTP 404,https://unavatar.io/x/breroz -> HTTP 429 | https://pbs.twimg.com/profile_images/870776466207723521/_ahHwQ13_400x400.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/870776466207723521/_ahHwQ13_bigger.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/870776466207723521/_ahHwQ13_normal.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/870776466207723521/_ahHwQ13_200x200.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/870776466207723521/_ahHwQ13.jpg -> HTTP 404
432,passerotto,twitter,https://pbs.twimg.com/profile_images/745623141242839040/-1CQsvAS_400x400.jpg,https://unavatar.io/x/passerotto -> HTTP 429 | https://pbs.twimg.com/profile_images/745623141242839040/-1CQsvAS_400x400.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/745623141242839040/-1CQsvAS_bigger.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/745623141242839040/-1CQsvAS_normal.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/745623141242839040/-1CQsvAS_200x200.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/745623141242839040/-1CQsvAS.jpg -> HTTP 404,https://unavatar.io/x/passerotto -> HTTP 429 | https://pbs.twimg.com/profile_images/745623141242839040/-1CQsvAS_400x400.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/745623141242839040/-1CQsvAS_bigger.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/745623141242839040/-1CQsvAS_normal.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/745623141242839040/-1CQsvAS_200x200.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/745623141242839040/-1CQsvAS.jpg -> HTTP 404
662,jackie_bird,twitter,https://pbs.twimg.com/profile_images/647065822142312450/5B17JqjD_400x400.jpg,https://unavatar.io/x/jackie_bird -> HTTP 429 | https://pbs.twimg.com/profile_images/647065822142312450/5B17JqjD_400x400.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/647065822142312450/5B17JqjD_bigger.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/647065822142312450/5B17JqjD_normal.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/647065822142312450/5B17JqjD_200x200.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/647065822142312450/5B17JqjD.jpg -> HTTP 404,https://unavatar.io/x/jackie_bird -> HTTP 429 | https://pbs.twimg.com/profile_images/647065822142312450/5B17JqjD_400x400.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/647065822142312450/5B17JqjD_bigger.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/647065822142312450/5B17JqjD_normal.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/647065822142312450/5B17JqjD_200x200.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/647065822142312450/5B17JqjD.jpg -> HTTP 404
910,markcooperyxe,twitter,https://pbs.twimg.com/profile_images/829855272269074433/5NT1mOa1_400x400.jpg,https://unavatar.io/x/markcooperyxe -> HTTP 429 | https://pbs.twimg.com/profile_images/829855272269074433/5NT1mOa1_400x400.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/829855272269074433/5NT1mOa1_bigger.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/829855272269074433/5NT1mOa1_normal.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/829855272269074433/5NT1mOa1_200x200.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/829855272269074433/5NT1mOa1.jpg -> HTTP 404,https://unavatar.io/x/markcooperyxe -> HTTP 429 | https://pbs.twimg.com/profile_images/829855272269074433/5NT1mOa1_400x400.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/829855272269074433/5NT1mOa1_bigger.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/829855272269074433/5NT1mOa1_normal.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/829855272269074433/5NT1mOa1_200x200.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/829855272269074433/5NT1mOa1.jpg -> HTTP 404
3169,angelroman2046,twitter,https://pbs.twimg.com/profile_images/842441430081630208/g5Zjwfn3_400x400.jpg,https://unavatar.io/x/angelroman2046 -> HTTP 429 | https://pbs.twimg.com/profile_images/842441430081630208/g5Zjwfn3_400x400.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/842441430081630208/g5Zjwfn3_bigger.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/842441430081630208/g5Zjwfn3_normal.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/842441430081630208/g5Zjwfn3_200x200.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/842441430081630208/g5Zjwfn3.jpg -> HTTP 404,https://unavatar.io/x/angelroman2046 -> HTTP 429 | https://pbs.twimg.com/profile_images/842441430081630208/g5Zjwfn3_400x400.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/842441430081630208/g5Zjwfn3_bigger.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/842441430081630208/g5Zjwfn3_normal.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/842441430081630208/g5Zjwfn3_200x200.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/842441430081630208/g5Zjwfn3.jpg -> HTTP 404
440,eloy_vieira,twitter,https://pbs.twimg.com/profile_images/908740176901541888/0jNpA04w_400x400.jpg,https://unavatar.io/x/eloy_vieira -> HTTP 429 | https://pbs.twimg.com/profile_images/908740176901541888/0jNpA04w_400x400.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/908740176901541888/0jNpA04w_bigger.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/908740176901541888/0jNpA04w_normal.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/908740176901541888/0jNpA04w_200x200.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/908740176901541888/0jNpA04w.jpg -> HTTP 404,https://unavatar.io/x/eloy_vieira -> HTTP 429 | https://pbs.twimg.com/profile_images/908740176901541888/0jNpA04w_400x400.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/908740176901541888/0jNpA04w_bigger.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/908740176901541888/0jNpA04w_normal.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/908740176901541888/0jNpA04w_200x200.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/908740176901541888/0jNpA04w.jpg -> HTTP 404
3559,brothertuck,twitter,https://pbs.twimg.com/profile_images/741323765359972352/7aBtlTri_400x400.jpg,https://unavatar.io/x/brothertuck -> HTTP 429 | https://pbs.twimg.com/profile_images/741323765359972352/7aBtlTri_400x400.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/741323765359972352/7aBtlTri_bigger.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/741323765359972352/7aBtlTri_normal.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/741323765359972352/7aBtlTri_200x200.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/741323765359972352/7aBtlTri.jpg -> HTTP 404,https://unavatar.io/x/brothertuck -> HTTP 429 | https://pbs.twimg.com/profile_images/741323765359972352/7aBtlTri_400x400.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/741323765359972352/7aBtlTri_bigger.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/741323765359972352/7aBtlTri_normal.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/741323765359972352/7aBtlTri_200x200.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/741323765359972352/7aBtlTri.jpg -> HTTP 404
1094,ottster,twitter,https://pbs.twimg.com/profile_images/2730526861/7183b449bea6d1916ef2eff789587fb0_400x400.png,https://unavatar.io/x/ottster -> HTTP 429 | https://pbs.twimg.com/profile_images/2730526861/7183b449bea6d1916ef2eff789587fb0_400x400.png -> HTTP 404 | https://pbs.twimg.com/profile_images/2730526861/7183b449bea6d1916ef2eff789587fb0_bigger.png -> HTTP 404 | https://pbs.twimg.com/profile_images/2730526861/7183b449bea6d1916ef2eff789587fb0_normal.png -> HTTP 404 | https://pbs.twimg.com/profile_images/2730526861/7183b449bea6d1916ef2eff789587fb0_200x200.png -> HTTP 404 | https://pbs.twimg.com/profile_images/2730526861/7183b449bea6d1916ef2eff789587fb0.png -> HTTP 404,https://unavatar.io/x/ottster -> HTTP 429 | https://pbs.twimg.com/profile_images/2730526861/7183b449bea6d1916ef2eff789587fb0_400x400.png -> HTTP 404 | https://pbs.twimg.com/profile_images/2730526861/7183b449bea6d1916ef2eff789587fb0_bigger.png -> HTTP 404 | https://pbs.twimg.com/profile_images/2730526861/7183b449bea6d1916ef2eff789587fb0_normal.png -> HTTP 404 | https://pbs.twimg.com/profile_images/2730526861/7183b449bea6d1916ef2eff789587fb0_200x200.png -> HTTP 404 | https://pbs.twimg.com/profile_images/2730526861/7183b449bea6d1916ef2eff789587fb0.png -> HTTP 404
1306,shotbywes,twitter,https://pbs.twimg.com/profile_images/808165755011342336/0GgREf8A_400x400.jpg,https://unavatar.io/x/shotbywes -> HTTP 429 | https://pbs.twimg.com/profile_images/808165755011342336/0GgREf8A_400x400.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/808165755011342336/0GgREf8A_bigger.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/808165755011342336/0GgREf8A_normal.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/808165755011342336/0GgREf8A_200x200.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/808165755011342336/0GgREf8A.jpg -> HTTP 404,https://unavatar.io/x/shotbywes -> HTTP 429 | https://pbs.twimg.com/profile_images/808165755011342336/0GgREf8A_400x400.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/808165755011342336/0GgREf8A_bigger.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/808165755011342336/0GgREf8A_normal.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/808165755011342336/0GgREf8A_200x200.jpg -> HTTP 404 | https://pbs.twimg.com/profile_images/808165755011342336/0GgREf8A.jpg -> HTTP 404
