model,feature_count,threshold,val_ap,val_auc,val_f1,best_val_f1,test_ap,test_auc,test_f1,test_precision,test_recall,test_tn,test_fp,test_fn,test_tp,rank
gb,22,0.43000000000000005,0.9732976524016925,0.9796336644318479,0.936839633716835,0.936839633716835,0.9703436322457817,0.9772002718696379,0.9337101142117038,0.9656600097418412,0.903806701618418,9164,141,422,3965,1
rf,22,0.44000000000000006,0.9722707453163122,0.9793184644999654,0.9339567504383401,0.9339567504383401,0.968929042325144,0.9773196343502804,0.9331616528151703,0.9590952839268527,0.9085935719170276,9135,170,401,3986,2
logreg,22,0.43000000000000005,0.936651988399817,0.9540591941702536,0.880814626243925,0.880814626243925,0.9304313137471836,0.9494308632791892,0.8704746580852776,0.877839592025962,0.8632322771825849,8778,527,600,3787,3
