model,current_threshold,current_tp,current_fp,current_fn,current_tn,current_precision,current_recall,current_f1,first_threshold_below_precision_1_test_diag,first_threshold_below_precision_1_precision_test_diag,first_threshold_below_precision_1_recall_test_diag,first_threshold_below_precision_1_fp_test_diag,best_test_f1_threshold_diag,best_test_f1_precision_diag,best_test_f1_recall_diag,best_test_f1_fp_diag,best_precision_ge_095_threshold_diag,best_precision_ge_095_precision_diag,best_precision_ge_095_recall_diag,best_precision_ge_095_fp_diag,unique_calibrated_prob_count,unique_calibrated_prob_values
extra_trees,0.04,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504,0.02,0.13110651724513112,0.9983429991714996,7986,0.03,1.0,0.8169014084507042,0,0.05,1.0,0.8169014084507042,0,4,"[0.0, 0.014705999754369259, 0.025395000353455544, 1.0]"
rf,0.05,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504,0.04,0.441017090454356,0.8765534382767192,1341,0.05,1.0,0.8169014084507042,0,0.09,1.0,0.8169014084507042,0,6,"[0.0, 0.007350000087171793, 0.014705999754369259, 0.020771000534296036, 0.04513400048017502, 1.0]"
gb,0.12,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481,0.04,0.441017090454356,0.8765534382767192,1341,0.05,1.0,0.8169014084507042,0,0.09,1.0,0.8169014084507042,0,6,"[0.0, 0.013333000242710114, 0.020754000172019005, 0.045455001294612885, 0.11111100018024445, 1.0]"
logreg,0.12,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481,0.11,0.9979757085020243,0.8169014084507042,2,0.060000000000000005,0.9979757085020243,0.8169014084507042,2,0.03,0.9969666329625885,0.8169014084507042,3,6,"[0.0, 0.008906000293791294, 0.019804999232292175, 0.05555599927902222, 0.11764699965715408, 1.0]"
