threshold,precision,recall,f1,match_count
0.05,0.6737301339981303,0.9856393891041714,0.8003701989819528,6418
0.1,0.766786355475763,0.9735582402552998,0.8578889223661745,5570
0.15,0.8630165289256199,0.9521312970139048,0.9053863660994906,4840
0.2,0.9190880643719267,0.9373147937086848,0.9281119512470376,4474
0.25,0.9226618705035972,0.9354912240711192,0.9290322580645162,4448
0.3,0.9301319981793355,0.9316161385912924,0.930873476824963,4394
0.35,0.9506610009442871,0.917939366309551,0.9340136843325989,4236
0.4,0.9506610009442871,0.917939366309551,0.9340136843325989,4236
0.45,0.9506610009442871,0.917939366309551,0.9340136843325989,4236
0.5,0.9575844716031632,0.9108730339639844,0.9336448598130841,4173
0.55,0.9692950135101941,0.8994757237291999,0.9330811066445969,4071
0.6,0.9692950135101941,0.8994757237291999,0.9330811066445969,4071
0.65,0.9766800401203611,0.8878504672897196,0.9301492537313433,3988
0.7,0.976668339187155,0.8873945748803282,0.9298937059596322,3986
0.75,0.976668339187155,0.8873945748803282,0.9298937059596322,3986
0.8,0.9845440494590417,0.8712103943469341,0.9244164953440561,3882
0.85,0.9888682745825603,0.8504672897196262,0.9144607843137255,3773
0.9,0.9888564605996285,0.8495555049008434,0.9139283962726827,3769
0.95,0.9935772130689752,0.8110325963072715,0.8930722891566265,3581
