model,calibrator,val_f1,val_ece,threshold,test_ap,test_auc,test_f1,test_precision,test_recall,test_ece,test_tn,test_fp,test_fn,test_tp,unique_calibrated_prob_count,best_test_f1_threshold_diag,best_test_f1_precision_diag,best_test_f1_recall_diag,best_test_f1_fp_diag,best_precision_ge_095_threshold_diag,best_precision_ge_095_precision_diag,best_precision_ge_095_recall_diag,best_precision_ge_095_fp_diag
extra_trees,isotonic,0.9999765612143363,7.435448311220018e-13,0.04,0.8409038539027807,0.9984018966843846,0.8992248062015504,1.0,0.8169014084507042,2.2747900496496957e-05,461701,0,221,986,4,0.03,1.0,0.8169014084507042,0,0.05,1.0,0.8169014084507042,0.0
extra_trees,sigmoid,0.9999727371023981,0.00034579649719493604,0.14,0.8426772011790407,0.9981494953066163,0.8992248062015504,1.0,0.8169014084507042,0.001842787297341786,461701,0,221,986,31,0.14,1.0,0.8169014084507042,0,0.27,1.0,0.8169014084507042,0.0
gb,isotonic,0.9999761911194356,6.197378898234806e-13,0.12,0.8593888886077717,0.9986541625810054,0.8982199908717481,1.0,0.8152444076222038,3.383702514384252e-05,461701,0,223,984,6,0.05,1.0,0.8169014084507042,0,0.09,1.0,0.8169014084507042,0.0
gb,sigmoid,0.9998173328098765,0.0003684153818126522,0.02,0.8593888886077716,0.9986541625810054,0.5867997781475319,0.441017090454356,0.8765534382767192,0.001819434399728345,460360,1341,149,1058,6,0.01,0.441017090454356,0.8765534382767192,1341,,,,
logreg,isotonic,0.9999761911194356,5.804430092368535e-13,0.12,0.8391685213661781,0.9977269681883285,0.8982199908717481,1.0,0.8152444076222038,3.844420527154344e-05,461701,0,223,984,6,0.060000000000000005,0.9979757085020243,0.8169014084507042,2,0.03,0.9969666329625885,0.8169014084507042,3.0
logreg,sigmoid,0.9999626218260164,0.00037457200750501244,0.5,0.8394517627143487,0.9973368955340599,0.8951429868361326,0.9899598393574297,0.8169014084507042,0.0016863035484356139,461691,10,221,986,93,0.5,0.9899598393574297,0.8169014084507042,10,0.23,0.9723865877712031,0.8169014084507042,28.0
rf,isotonic,0.9999765612143363,7.435448311220018e-13,0.05,0.8593906257058097,0.9986542962677006,0.8992248062015504,1.0,0.8169014084507042,3.029520647032719e-05,461701,0,221,986,6,0.05,1.0,0.8169014084507042,0,0.09,1.0,0.8169014084507042,0.0
rf,sigmoid,0.9990985645805639,4.840085026076025e-05,0.48000000000000004,0.8593906257058097,0.9986542944732483,0.22896708716684055,0.12928449014567267,1.0,0.017389704373902852,453572,8129,0,1207,155,0.3,0.12928449014567267,1.0,8129,,,,
