model,source,feature_count,fit_seconds,threshold,val_ap,val_auc,val_f1,val_ece,test_ap,test_auc,test_f1,test_precision,test_recall,test_ece,test_tn,test_fp,test_fn,test_tp
rf,strict_rerun,22,5.478707700007362,0.05,0.9999999393629615,0.9999996834199052,0.9999765612143363,7.435448311220018e-13,0.8593906257058097,0.9986542962677006,0.8992248062015504,1.0,0.8169014084507042,3.029520647032719e-05,461701,0,221,986
extra_trees,strict_rerun,22,2.7984610999992583,0.04,0.9999999167702909,0.9999996275717585,0.9999765612143363,7.435448311220018e-13,0.8409038539027807,0.9984018966843846,0.8992248062015504,1.0,0.8169014084507042,2.2747900496496957e-05,461701,0,221,986
gb,strict_rerun,22,18.8661490999948,0.12,0.9999999392692587,0.9999996827822468,0.9999761911194356,6.197378898234806e-13,0.8593888886077717,0.9986541625810054,0.8982199908717481,1.0,0.8152444076222038,3.383702514384252e-05,461701,0,223,984
logreg,strict_rerun,22,0.08061499999894295,0.12,0.9999999000070965,0.9999994474456854,0.9999761911194356,5.804430092368535e-13,0.8391685213661781,0.9977269681883285,0.8982199908717481,1.0,0.8152444076222038,3.844420527154344e-05,461701,0,223,984
mlp,strict_existing_report,22,,0.03,0.9999966128108637,0.9999703374752723,0.9999576876119567,1.0743529252252041e-07,0.7343521913203878,0.9960215934123662,0.8296171644930584,0.8427350427350427,0.8169014084507042,,461517,184,221,986
