model,calibrator,threshold,tp,fp,fn,tn,precision,recall,f1
logreg,isotonic,0.01,1135,6824,72,454877,0.14260585500691042,0.9403479701739851,0.24765437486362646
logreg,isotonic,0.02,986,3,221,461698,0.9969666329625885,0.8169014084507042,0.8979963570127505
logreg,isotonic,0.03,986,3,221,461698,0.9969666329625885,0.8169014084507042,0.8979963570127505
logreg,isotonic,0.04,986,3,221,461698,0.9969666329625885,0.8169014084507042,0.8979963570127505
logreg,isotonic,0.05,986,3,221,461698,0.9969666329625885,0.8169014084507042,0.8979963570127505
logreg,isotonic,0.060000000000000005,986,2,221,461699,0.9979757085020243,0.8169014084507042,0.8984054669703873
logreg,isotonic,0.06999999999999999,986,2,221,461699,0.9979757085020243,0.8169014084507042,0.8984054669703873
logreg,isotonic,0.08,986,2,221,461699,0.9979757085020243,0.8169014084507042,0.8984054669703873
logreg,isotonic,0.09,986,2,221,461699,0.9979757085020243,0.8169014084507042,0.8984054669703873
logreg,isotonic,0.09999999999999999,986,2,221,461699,0.9979757085020243,0.8169014084507042,0.8984054669703873
logreg,isotonic,0.11,986,2,221,461699,0.9979757085020243,0.8169014084507042,0.8984054669703873
logreg,isotonic,0.12,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,isotonic,0.13,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,isotonic,0.14,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,isotonic,0.15000000000000002,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,isotonic,0.16,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,isotonic,0.17,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,isotonic,0.18000000000000002,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,isotonic,0.19,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,isotonic,0.2,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,isotonic,0.21000000000000002,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,isotonic,0.22,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,isotonic,0.23,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,isotonic,0.24000000000000002,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,isotonic,0.25,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,isotonic,0.26,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,isotonic,0.27,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,isotonic,0.28,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,isotonic,0.29000000000000004,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,isotonic,0.3,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,isotonic,0.31,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,isotonic,0.32,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,isotonic,0.33,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,isotonic,0.34,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,isotonic,0.35000000000000003,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,isotonic,0.36000000000000004,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,isotonic,0.37,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,isotonic,0.38,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,isotonic,0.39,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,isotonic,0.4,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,isotonic,0.41000000000000003,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,isotonic,0.42000000000000004,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,isotonic,0.43,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,isotonic,0.44,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,isotonic,0.45,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,isotonic,0.46,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,isotonic,0.47000000000000003,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,isotonic,0.48000000000000004,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,isotonic,0.49,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,isotonic,0.5,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
logreg,sigmoid,0.01,1135,12892,72,448809,0.08091537748627646,0.9403479701739851,0.14900879611395562
logreg,sigmoid,0.02,1135,9780,72,451921,0.10398534127347686,0.9403479701739851,0.18726282791618545
logreg,sigmoid,0.03,1135,9779,72,451922,0.10399486897562764,0.9403479701739851,0.18727827736985397
logreg,sigmoid,0.04,1135,9777,72,451924,0.10401392961876833,0.9403479701739851,0.18730918392606652
logreg,sigmoid,0.05,1135,6827,72,454874,0.14255212258226577,0.9403479701739851,0.24757334496673575
logreg,sigmoid,0.060000000000000005,1135,6826,72,454875,0.14257002889084286,0.9403479701739851,0.2476003490401396
logreg,sigmoid,0.06999999999999999,1135,6826,72,454875,0.14257002889084286,0.9403479701739851,0.2476003490401396
logreg,sigmoid,0.08,1135,6826,72,454875,0.14257002889084286,0.9403479701739851,0.2476003490401396
logreg,sigmoid,0.09,1135,6824,72,454877,0.14260585500691042,0.9403479701739851,0.24765437486362646
logreg,sigmoid,0.09999999999999999,1135,6824,72,454877,0.14260585500691042,0.9403479701739851,0.24765437486362646
logreg,sigmoid,0.11,1135,6824,72,454877,0.14260585500691042,0.9403479701739851,0.24765437486362646
logreg,sigmoid,0.12,986,38,221,461663,0.962890625,0.8169014084507042,0.8839085611833258
logreg,sigmoid,0.13,986,38,221,461663,0.962890625,0.8169014084507042,0.8839085611833258
logreg,sigmoid,0.14,986,38,221,461663,0.962890625,0.8169014084507042,0.8839085611833258
logreg,sigmoid,0.15000000000000002,986,37,221,461664,0.9638318670576735,0.8169014084507042,0.884304932735426
logreg,sigmoid,0.16,986,35,221,461666,0.9657198824681684,0.8169014084507042,0.8850987432675045
logreg,sigmoid,0.17,986,34,221,461667,0.9666666666666667,0.8169014084507042,0.8854961832061069
logreg,sigmoid,0.18000000000000002,986,33,221,461668,0.9676153091265947,0.8169014084507042,0.8858939802336029
logreg,sigmoid,0.19,986,31,221,461670,0.9695181907571289,0.8169014084507042,0.8866906474820144
logreg,sigmoid,0.2,986,30,221,461671,0.9704724409448819,0.8169014084507042,0.8870895186684661
logreg,sigmoid,0.21000000000000002,986,28,221,461673,0.9723865877712031,0.8169014084507042,0.8878883385862224
logreg,sigmoid,0.22,986,28,221,461673,0.9723865877712031,0.8169014084507042,0.8878883385862224
logreg,sigmoid,0.23,986,28,221,461673,0.9723865877712031,0.8169014084507042,0.8878883385862224
logreg,sigmoid,0.24000000000000002,986,28,221,461673,0.9723865877712031,0.8169014084507042,0.8878883385862224
logreg,sigmoid,0.25,986,24,221,461677,0.9762376237623762,0.8169014084507042,0.889490302210194
logreg,sigmoid,0.26,986,23,221,461678,0.977205153617443,0.8169014084507042,0.8898916967509025
logreg,sigmoid,0.27,986,22,221,461679,0.9781746031746031,0.8169014084507042,0.890293453724605
logreg,sigmoid,0.28,986,21,221,461680,0.9791459781529295,0.8169014084507042,0.8906955736224029
logreg,sigmoid,0.29000000000000004,986,19,221,461682,0.981094527363184,0.8169014084507042,0.891500904159132
logreg,sigmoid,0.3,986,19,221,461682,0.981094527363184,0.8169014084507042,0.891500904159132
logreg,sigmoid,0.31,986,18,221,461683,0.9820717131474104,0.8169014084507042,0.8919041157847128
logreg,sigmoid,0.32,986,17,221,461684,0.9830508474576272,0.8169014084507042,0.8923076923076924
logreg,sigmoid,0.33,986,16,221,461685,0.9840319361277445,0.8169014084507042,0.8927116342236306
logreg,sigmoid,0.34,986,16,221,461685,0.9840319361277445,0.8169014084507042,0.8927116342236306
logreg,sigmoid,0.35000000000000003,986,16,221,461685,0.9840319361277445,0.8169014084507042,0.8927116342236306
logreg,sigmoid,0.36000000000000004,986,15,221,461686,0.985014985014985,0.8169014084507042,0.8931159420289855
logreg,sigmoid,0.37,986,15,221,461686,0.985014985014985,0.8169014084507042,0.8931159420289855
logreg,sigmoid,0.38,986,15,221,461686,0.985014985014985,0.8169014084507042,0.8931159420289855
logreg,sigmoid,0.39,986,15,221,461686,0.985014985014985,0.8169014084507042,0.8931159420289855
logreg,sigmoid,0.4,986,14,221,461687,0.986,0.8169014084507042,0.8935206162211147
logreg,sigmoid,0.41000000000000003,986,14,221,461687,0.986,0.8169014084507042,0.8935206162211147
logreg,sigmoid,0.42000000000000004,986,13,221,461688,0.986986986986987,0.8169014084507042,0.8939256572982774
logreg,sigmoid,0.43,986,13,221,461688,0.986986986986987,0.8169014084507042,0.8939256572982774
logreg,sigmoid,0.44,986,11,221,461690,0.9889669007021064,0.8169014084507042,0.8947368421052632
logreg,sigmoid,0.45,986,11,221,461690,0.9889669007021064,0.8169014084507042,0.8947368421052632
logreg,sigmoid,0.46,986,11,221,461690,0.9889669007021064,0.8169014084507042,0.8947368421052632
logreg,sigmoid,0.47000000000000003,986,11,221,461690,0.9889669007021064,0.8169014084507042,0.8947368421052632
logreg,sigmoid,0.48000000000000004,986,11,221,461690,0.9889669007021064,0.8169014084507042,0.8947368421052632
logreg,sigmoid,0.49,986,11,221,461690,0.9889669007021064,0.8169014084507042,0.8947368421052632
logreg,sigmoid,0.5,986,10,221,461691,0.9899598393574297,0.8169014084507042,0.8951429868361326
gb,isotonic,0.01,1207,8128,0,453573,0.12929833958221745,1.0,0.22898880667804972
gb,isotonic,0.02,1205,7987,2,453714,0.13109225413402958,0.9983429991714996,0.2317530531781902
gb,isotonic,0.03,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,isotonic,0.04,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,isotonic,0.05,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
gb,isotonic,0.060000000000000005,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
gb,isotonic,0.06999999999999999,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
gb,isotonic,0.08,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
gb,isotonic,0.09,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
gb,isotonic,0.09999999999999999,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
gb,isotonic,0.11,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
gb,isotonic,0.12,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,isotonic,0.13,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,isotonic,0.14,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,isotonic,0.15000000000000002,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,isotonic,0.16,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,isotonic,0.17,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,isotonic,0.18000000000000002,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,isotonic,0.19,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,isotonic,0.2,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,isotonic,0.21000000000000002,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
