model,fit_seconds,feature_count,use_scaler,threshold,val_ap,val_auc,val_f1,val_precision,val_recall,val_ece,best_val_f1,test_ap,test_auc,test_f1,test_precision,test_recall,test_ece,test_tn,test_fp,test_fn,test_tp,val_composite,rank
gb,92.59892989999207,41,False,0.4600000000000001,0.9779381136679446,0.9725218435734633,0.9339456022606852,0.9656683710737765,0.9042407660738714,3.7007434154171884e-18,0.9339456022606852,0.9797065073269041,0.9736922733203889,0.9333489791128843,0.9617896009673519,0.9065420560747663,0.004624966147621268,3768,158,410,3977,0.9614574806565076,1
rf,38.03381540000555,41,False,0.42000000000000004,0.9758458536160599,0.9705003847808991,0.9302542570562164,0.9522445081184336,0.9092567259461924,8.147943599285003e-18,0.9302542570562164,0.9764168149996248,0.9705963040200862,0.9288945597958473,0.9456778460085026,0.91269660360155,0.008068595973424809,3696,230,383,4004,0.9588197010530826,2
mlp,37.24125560000539,41,True,0.4600000000000001,0.9721707098851027,0.9648212242055998,0.9244213509683514,0.958843704066634,0.8923848609211126,2.898484353333742e-18,0.9244213509683514,0.9733640777831638,0.9648521293345631,0.9254504769756212,0.9573586744639376,0.8956006382493732,0.005042333580096727,3751,175,458,3929,0.9539885371283392,3
extra_trees,17.342795700009447,41,False,0.44000000000000006,0.9716625335164448,0.9643529690102965,0.9225376796354714,0.9460819554277499,0.9001367989056087,1.502294792062712e-17,0.9225376796354714,0.9734308558973229,0.9663895469421127,0.9211937514572162,0.9427344309234073,0.9006154547526783,0.007609891139970291,3686,240,436,3951,0.9530069217568745,4
adaboost,24.112333800003398,41,False,0.32000000000000006,0.933666956442669,0.926845447897361,0.8804940065383219,0.9388071262587142,0.8290013679890561,2.3407849085628302e-17,0.8804940065383219,0.936299665119716,0.9289495279725295,0.8762112403100775,0.9348668906694236,0.8244814223843173,0.015325714391613104,3674,252,770,3617,0.9136921222670858,5
logreg,0.40216339999460615,41,True,0.36000000000000004,0.9398611957399389,0.9258398150268303,0.8589846897663175,0.8674726807719135,0.8506611947104423,2.3773394545367934e-17,0.8589846897663175,0.9422145239174672,0.9255551848704102,0.862933458294283,0.8876837792239094,0.839525871894233,0.01756591134392297,3460,466,704,3683,0.9087501425065497,6
linear_svm,0.5399958999914816,41,True,0.4000000000000001,0.939378515637473,0.9256332358497069,0.8575043128234617,0.8651659317707124,0.8499772001823985,7.000357299792654e-18,0.8575043128234617,0.9420753549729983,0.9254967758327324,0.8621295537073913,0.8867469879518072,0.8388420332801458,0.01752913481069329,3456,470,707,3680,0.9079734886950158,7
