name,scope,model,feature_count,test_ap,test_auc,test_f1,test_precision,test_recall
text_attr_hybrid,multimodal_suite,gb,23,0.9782166391231106,0.9715053599872081,0.9330383137300571,0.9538095238095238,0.9131524960109414
image_stats,multimodal_suite,gb,37,0.9788897631343163,0.9731365165523432,0.9340467604978481,0.9536817102137767,0.9152040118532027
image_context,multimodal_suite,gb,41,0.978927924122322,0.9733835066579918,0.9340136843325989,0.9506610009442871,0.917939366309551
leakage_safe_gb,baseline_ref,gb,22,0.9703436322457817,0.9772002718696379,0.9337101142117038,0.9656600097418412,0.903806701618418
strict_noleak_mlp,strict_ref,mlp,22,0.7343521913203878,0.9960215934123662,0.8296171644930584,0.8427350427350427,0.8169014084507042
strict_noleak_logreg_report,strict_report_ref,logreg,22,0.8394517627143487,0.9973368955340599,0.8951429868361326,0.9899598393574297,0.8169014084507042
