metric,simple,advanced,improvement
Candidate Pairs,8391,8651,-3.10% fewer
Exact Matches,9712,9712,Same
Total Selected,18103,18363,-1.44% fewer
Search Space Reduction,99.9960%,99.9959%,+-0.0001 pts
