epoch,train_loss,val_loss,train_acc,val_acc
1,0.04618014468578622,0.02916234600372979,0.9504079738115014,0.9668456764318102
2,0.03912206155946478,0.027666462676935507,0.9574803341965115,0.9728269608000771
3,0.03808700190857053,0.02737800099077772,0.9596179215322226,0.9745313052706048
4,0.0378531422233209,0.02694420739397651,0.9599110763668344,0.9758176029842107
5,0.03708215324440971,0.026577556261517962,0.96141349489422,0.9764607518410136
6,0.0364263616851531,0.026392766076033233,0.9616333610201788,0.975881917869891
7,0.03671415619319305,0.026522386208420894,0.961291347046465,0.9759783901984114
8,0.03627615454606712,0.02720580601179209,0.9617432940831583,0.975881917869891
9,0.03570875794393942,0.027397672844226242,0.9623662481067083,0.9753995562272888
10,0.035851119505241516,0.026120969964588275,0.962207455904627,0.9757211306556902
11,0.03586804495425895,0.026946664375604175,0.9628548394977281,0.9753352413416085
12,0.035687734349630774,0.026046811954164115,0.9626227585869936,0.976107019969772
13,0.03566850811475888,0.025752849021895986,0.9626227585869936,0.9765893816123742
14,0.035520473727956414,0.026866265618410268,0.9629892021302585,0.9757532880985305
15,0.03510383099783212,0.025892114053007034,0.9634167195974007,0.9760748625269319
16,0.035229840967804196,0.025856110862776883,0.9632212830409929,0.976332122069653
17,0.03492780195083469,0.026598829165345332,0.9635144378756046,0.9749171945846866
18,0.03494481137022376,0.025746834265892624,0.9635388674451556,0.9770717432549764
19,0.03494730368256569,0.02598437010386928,0.9638442370645429,0.9766215390552143
20,0.03482915364438668,0.02615923324569327,0.9644061171642155,0.9763964369553333
21,0.034766103175934406,0.02649602242058418,0.9639663849122978,0.9761391774126121
22,0.034743307461030784,0.02554777395896247,0.9642106806078077,0.9772325304691771
23,0.034831170679535714,0.025788158117259135,0.9641496066839302,0.9769431134836157
24,0.034750017256010325,0.02539456773121826,0.9638320222797674,0.9774576325690582
25,0.03462667535059154,0.025677299310193687,0.9641496066839302,0.9764929092838538
26,0.0343238617060706,0.02564818369316273,0.9644183319489911,0.976750168826575
27,0.034314207662828264,0.026380018529589058,0.9643083988860116,0.9765893816123742
28,0.03426357979187742,0.025379856651435134,0.9647481311379293,0.9772646879120173
29,0.034246074385009706,0.025446633915187884,0.9642839693164607,0.9771682155834968
30,0.034235677809920165,0.02623923983974535,0.9648580642009088,0.9764285943981734
31,0.03401741010602564,0.026020979783574087,0.9646137685053989,0.9768787985979355
32,0.03413728580344468,0.02557869457074853,0.9642717545316851,0.9769431134836157
33,0.03394799425732344,0.025908013225578872,0.9657253139199687,0.9764929092838538
