profile_id_a,profile_id_b,sim_score
instagram_mikerusch,twitter_mikerusch,1.0
instagram_tedgrafx,twitter_tedgrafx,1.0
instagram_mohammedsawaie,twitter_mohammedsawaie,1.0
instagram_chrisbaglieri,twitter_chrisbaglieri,1.0
instagram_todiguide,twitter_todiguide,1.0
instagram_toddebert,twitter_toddebert,1.0
instagram_faheemalik,twitter_faheemalik,1.0
instagram_davesag,twitter_davesag,1.0
instagram_orleepasion,twitter_orleepasion,1.0
instagram_goberiko,twitter_goberiko,1.0
instagram_fe_innecchi,twitter_fe_innecchi,1.0
instagram_christmanbowers,twitter_christmanbowers,1.0
twitter_davidinlines,instagram_davidinlines,1.0
googleplus_davidinlines,twitter_davidinlines,1.0
googleplus_davidinlines,instagram_davidinlines,1.0
twitter_davide_grassi,instagram_davide_grassi,1.0
instagram_fidelmartin,twitter_fidelmartin,1.0
instagram_davelawrence8,twitter_davelawrence8,1.0
instagram_nadirozkan,twitter_nadirozkan,1.0
instagram_fionagraham,twitter_fionagraham,1.0
twitter_nadinesjuhada,instagram_nadinesjuhada,1.0
instagram_fpassantino,twitter_fpassantino,1.0
instagram_nishanil,twitter_nishanil,1.0
instagram_brandonavance,twitter_brandonavance,1.0
instagram_abedsaifi,twitter_abedsaifi,1.0
instagram_zkouwe,twitter_zkouwe,1.0
instagram_vbellais,twitter_vbellais,1.0
instagram_lazcorp,twitter_lazcorp,1.0
instagram_ohaijoe,twitter_ohaijoe,1.0
instagram_adamolacakcocuk,twitter_adamolacakcocuk,1.0
instagram_tpagakis,twitter_tpagakis,1.0
instagram_z3ux,twitter_z3ux,1.0
instagram_me_jreese,twitter_me_jreese,1.0
instagram_jsesh,twitter_jsesh,1.0
instagram_jsschultz88,twitter_jsschultz88,1.0
instagram_minorcortes,twitter_minorcortes,1.0
instagram_abdulsmith,twitter_abdulsmith,1.0
instagram_vazquezjm,twitter_vazquezjm,1.0
instagram_k9blaze,twitter_k9blaze,1.0
instagram_uvmann,twitter_uvmann,1.0
instagram_naomimeran,twitter_naomimeran,1.0
instagram_kbliebs,twitter_kbliebs,1.0
instagram_kblanqua,twitter_kblanqua,1.0
instagram_vedomyr,twitter_vedomyr,1.0
instagram_jmorganimages,twitter_jmorganimages,1.0
instagram_jmnish,twitter_jmnish,1.0
instagram_ernestobilbao,twitter_ernestobilbao,1.0
instagram_jects,twitter_jects,1.0
instagram_jeorhg,twitter_jeorhg,1.0
twitter_danieletusa,googleplus_danieletusa,1.0
instagram_e3jeremey,twitter_e3jeremey,1.0
instagram_taqueriatoluca,twitter_taqueriatoluca,1.0
instagram_funkycoda,twitter_funkycoda,1.0
