epoch,train_loss,calibration_average_precision,learning_rate,elapsed_seconds,checkpoint_improved
1,0.08600268916358238,0.8825631550266031,0.0009972609476841367,1.0583712998777628,True
2,0.042055598186073545,0.9086288131726374,0.0009890738003669028,0.9763265000656247,True
3,0.028124507462333286,0.9148816915737011,0.0009755282581475768,0.9259936001617461,True
4,0.021186476019983427,0.9188131649667941,0.0009567727288213003,0.9885896001942456,True
5,0.017965436338902154,0.9224340984246531,0.0009330127018922195,0.9461606000550091,True
6,0.016266606493468186,0.925979173484292,0.0009045084971874739,1.0193985002115369,True
7,0.015129073859054779,0.9290477175732302,0.0008715724127386972,0.9574903000611812,True
8,0.014132117435753893,0.9312133477810132,0.0008345653031794292,1.0749959000386298,True
9,0.013613077253020581,0.9324758284067505,0.0007938926261462366,0.9168189999181777,True
10,0.013294907410223027,0.9333170299198027,0.00075,1.019594200188294,True
11,0.012914426443443299,0.9339852234294402,0.0007033683215379003,1.016114299884066,True
12,0.0126121826954919,0.934368405175534,0.0006545084971874739,1.0196320000104606,True
13,0.012531109764771863,0.9347092722186007,0.0006039558454088797,0.9645152001176029,True
14,0.012348851108272359,0.9349492764347602,0.0005522642316338269,1.035889299819246,True
15,0.012332701135411878,0.9354503592586564,0.0005000000000000002,0.9548531998880208,True
16,0.011937387760925362,0.936009565030701,0.0004477357683661734,0.8760126000270247,True
17,0.011990454091873328,0.9364797738368216,0.00039604415459112036,1.1776749999262393,True
18,0.011759398208980969,0.936810716229515,0.0003454915028125264,1.116122500039637,True
19,0.01200299078915811,0.9369385210250959,0.0002966316784621,1.2046535001136363,True
20,0.011845927009501477,0.9370572208514026,0.00025000000000000017,0.9039900999050587,True
21,0.011905692219304287,0.9370754019218925,0.00020610737385376354,1.0155913999769837,True
22,0.011700953546382916,0.9371040830684099,0.00016543469682057108,0.9696274001616985,True
23,0.011750553096495078,0.93719811151498,0.00012842758726130298,0.9564401998650283,True
24,0.011803201541391672,0.9372799121388814,9.549150281252637e-05,0.8113619999494404,True
25,0.011666112823431388,0.9373534124089903,6.698729810778068e-05,0.978148200083524,True
26,0.011697580619272986,0.9373861396526323,4.322727117869953e-05,1.0373968000058085,True
27,0.011682899814043406,0.9374318191285689,2.447174185242324e-05,1.1580153000541031,True
28,0.011654625979808418,0.9374543499828563,1.092619963309716e-05,1.198167399968952,True
29,0.011548404056451557,0.9374467836643359,2.7390523158633003e-06,1.0563009001780301,False
30,0.01146279375259958,0.9374305321122396,0.0,1.0718928000424057,False
