experiment,scenario,seed,t_m,t_r,c_promote,c_demote,val_cost,objective_val_cost,test_TP,test_FP,test_FN,test_REVIEW,test_precision,test_recall,test_F1,test_cost,runtime_seconds
r1,A_current,7,0.9970742787738913,0.9639470824425975,0.9874593348064823,0.09275662068541604,5243.78,2818.78,6231,23,1885,3117,0.9963,0.7101,0.8292,2062.34,11.235446
r1,A_current,42,0.999,0.9641788272097049,0.9874745971103054,0.505228579843769,5243.72,2818.7200000000003,6231,23,1885,3116,0.9963,0.7101,0.8292,2062.32,12.435649
r1,A_current,123,0.999,0.9641439742134834,0.9867464822785611,0.5699803194706092,5243.68,2818.68,6231,23,1885,3116,0.9963,0.7101,0.8292,2062.32,11.695344
r1,A_current,999,0.999,0.9642062341982416,0.9873330269687521,0.35478742064098295,5243.74,2818.74,6231,23,1885,3116,0.9963,0.7101,0.8292,2062.32,11.982742
r1,A_current,2025,0.999,0.9640283166886895,0.986900378066107,0.5123802144724137,5243.74,2818.74,6231,23,1885,3116,0.9963,0.7101,0.8292,2062.32,11.020192
