experiment,scenario,seed,t_m,t_r,c_promote,c_demote,val_cost,objective_val_cost,test_TP,test_FP,test_FN,test_REVIEW,test_precision,test_recall,test_F1,test_cost,runtime_seconds
r3,custom,7,0.999,0.53432920685144,0.9568027909860101,0.0,554.18,196.18,6689,66,1545,1167,0.9902,0.7623,0.8614,2228.34,0.568919
r3,custom,42,0.999,0.511907259660831,0.9564918285583517,0.2095305926815436,559.02,201.02,6690,66,1565,1120,0.9902,0.7624,0.8615,2247.4,0.588748
r3,custom,123,0.999,0.5295522209118557,0.9560509815782086,0.0,554.18,196.18,6690,66,1545,1166,0.9902,0.7624,0.8615,2228.32,0.626083
r3,custom,999,0.9920595179989937,0.5147350381412953,0.9561245224549983,0.25589506406070106,559.02,201.02,6690,66,1565,1120,0.9902,0.7624,0.8615,2247.4,0.567098
r3,custom,2025,0.9984513227116083,0.5187366052884055,0.9561479586941243,0.39536191109316465,559.02,201.02,6690,66,1565,1119,0.9902,0.7624,0.8615,2247.38,0.732532
