Original_location,Location_raw,Location_clean,Location_type,Location_valid,Latitude,Longitude
,,,unknown,0,,
,,,unknown,0,,
Across The Universe  ☮,across the universe,across the universe,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Kensington, Greater London GB","kensington, greater london gb","kensington, greater london gb",text_location,1,,
"Mankato, Minnesota","mankato, minnesota","mankato, minnesota",text_location,1,,
Essex/Plymouth,essex/plymouth,essexplymouth,text_location,1,,
"Portland, OR","portland, or","portland, or",text_location,1,,
Porto Velho,porto velho,porto velho,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Chicago,chicago,chicago,text_location,1,,
Brasil,brasil,brasil,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
England,england,england,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"New York, NY","new york, ny","new york, ny",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
"San Francisco, CA","san francisco, ca","san francisco, ca",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"bogota, colombia","bogota, colombia","bogota, colombia",text_location,1,,
méxico df,méxico df,méxico df,text_location,1,,
,,,unknown,0,,
"San Francisco, CA","san francisco, ca","san francisco, ca",text_location,1,,
"26.397542,-81.796433","26.397542,-81.796433","26.397542,-81.796433",coordinates,1,26.397542,-81.796433
Brazil,brazil,brazil,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
"Scottsdale, AZ","scottsdale, az","scottsdale, az",text_location,1,,
,,,unknown,0,,
"Winchester, England","winchester, england","winchester, england",text_location,1,,
,,,unknown,0,,
"Gettysburg, PA","gettysburg, pa","gettysburg, pa",text_location,1,,
Peckham,peckham,peckham,text_location,1,,
,,,unknown,0,,
"Lexington, VA","lexington, va","lexington, va",text_location,1,,
,,,unknown,0,,
Tenorio (Cotobade) Pontevedra,tenorio (cotobade) pontevedra,tenorio cotobade pontevedra,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
Australia & New Zealand,australia & new zealand,australia  new zealand,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
La Tierra,la tierra,la tierra,text_location,1,,
,,,unknown,0,,
Silicon Valley,silicon valley,silicon valley,text_location,1,,
"rockford, il","rockford, il","rockford, il",text_location,1,,
Silicon Valley (California),silicon valley (california),silicon valley california,text_location,1,,
,,,unknown,0,,
West Hollywood | Beverly Hills,west hollywood | beverly hills,west hollywood  beverly hills,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Fake Manchester,fake manchester,fake manchester,text_location,1,,
"Toronto, Ontario","toronto, ontario","toronto, ontario",text_location,1,,
"Arizona, USA","arizona, usa","arizona, usa",text_location,1,,
PH,ph,ph,text_location,1,,
Serra dè Conti (Ancona),serra dè conti (ancona),serra dè conti ancona,text_location,1,,
"Hood River, OR & The Dalles,OR","hood river, or & the dalles,or","hood river, or  the dalles,or",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
