epoch,train_loss,calibration_average_precision,learning_rate,elapsed_seconds,checkpoint_improved
1,0.09053647274214552,0.8857104991512507,0.0009972609476841367,1.0205597998574376,True
2,0.04267380012959608,0.9072909717957042,0.0009890738003669028,1.1169881999958307,True
3,0.028220565638249047,0.9147134559769826,0.0009755282581475768,0.9767907001078129,True
4,0.021469517737596165,0.9197159036602102,0.0009567727288213003,1.0037278002128005,True
5,0.0181343266648122,0.9236722968103463,0.0009330127018922195,0.9776482000015676,True
6,0.0162536055891317,0.9268492138335406,0.0009045084971874739,0.9823957998305559,True
7,0.015284081517532303,0.9292999434944963,0.0008715724127386972,0.9999649000819772,True
8,0.014342609849441667,0.9312764721987933,0.0008345653031794292,0.9282530001364648,True
9,0.013871260712956392,0.9329051942361078,0.0007938926261462366,1.0061289998702705,True
10,0.013593915657707045,0.9341450779863316,0.00075,0.9855454999487847,True
11,0.013071139875365654,0.9348836082928492,0.0007033683215379003,0.922465099953115,True
12,0.012806855249868323,0.935587269488604,0.0006545084971874739,0.9849414001218975,True
13,0.012699215658580053,0.9362737653671158,0.0006039558454088797,1.0521239000372589,True
14,0.012636792691423662,0.9367574172134188,0.0005522642316338269,1.0218501999042928,True
15,0.012357045652600837,0.9370301859171986,0.0005000000000000002,1.0370932999067008,True
16,0.0122219265450604,0.9373442847151273,0.0004477357683661734,0.7858796999789774,True
17,0.012109242899409236,0.9375834695067682,0.00039604415459112036,1.0140238001476973,True
18,0.012057441407446723,0.9378987858042523,0.0003454915028125264,0.9969787001609802,True
19,0.012279754912419808,0.9381036932901685,0.0002966316784621,1.032010299852118,True
20,0.01192033505209153,0.9382844931173272,0.00025000000000000017,0.9567370999138802,True
21,0.011884441366384748,0.9384183989181509,0.00020610737385376354,0.9433881000149995,True
22,0.011746502019528903,0.9385160054086586,0.00016543469682057108,0.9870758999604732,True
23,0.01189165643907842,0.9385520541638526,0.00012842758726130298,0.8945776999462396,True
24,0.011924582435983025,0.9385805969537654,9.549150281252637e-05,0.8506672000512481,True
25,0.011642477163287958,0.9386156915995806,6.698729810778068e-05,0.9097815998829901,True
26,0.011797599227282445,0.9386013296763186,4.322727117869953e-05,0.9662987999618053,False
27,0.011694844422898035,0.9385841577659676,2.447174185242324e-05,1.1174534999299794,False
28,0.011520258209555526,0.9385917938704995,1.092619963309716e-05,0.9999378998763859,False
29,0.011715427979817006,0.9385906992124331,2.7390523158633003e-06,0.9732367999386042,False
30,0.011712977920349824,0.9385755323692226,0.0,0.9815988999325782,False
