experiment,scenario,seed,t_m,t_r,c_promote,c_demote,val_cost,objective_val_cost,test_TP,test_FP,test_FN,test_REVIEW,test_precision,test_recall,test_F1,test_cost,runtime_seconds
r3,A_current,7,0.999,0.5,0.9525997555946777,0.5654460418880717,565.68,207.68,6703,74,1606,912,0.9891,0.7639,0.862,1994.24,0.574109
r3,A_current,42,0.999,0.5,0.9504012368039136,0.40072423086476805,565.68,207.68,6707,79,1606,903,0.9884,0.7643,0.862,2019.06,0.638351
r3,A_current,123,0.9959887230813014,0.594668847923113,0.9517691044229828,0.5188141506562649,566.6,208.6,6703,76,1611,876,0.9888,0.7639,0.8619,2008.52,0.618795
r3,A_current,999,0.9959345763029027,0.6035751931953067,0.9528931853401401,0.2630889828330419,566.6,208.6,6702,71,1611,882,0.9895,0.7638,0.8621,1983.64,0.555487
r3,A_current,2025,0.999,0.5,0.9521342758758371,0.1891723126188499,565.68,207.68,6703,78,1606,908,0.9885,0.7639,0.8618,2014.16,0.670298
