experiment,seed,t_m,t_r,c_promote,c_demote,validation_TP,validation_FP,validation_FN,validation_REVIEW,validation_precision,validation_recall,validation_F1,val_cost,objective_val_cost,runtime_seconds,test_labels_accessed
GB-18-GA,7,0.9742039742701815,0.557505363289822,0.9566898574304789,0.3409037144637459,2221,11,554,192,0.9951,0.7588,0.861,612.84,254.84,0.814216,False
GB-18-GA,42,0.9733060028824894,0.5,0.9567215779834347,0.11875181307266514,2221,11,553,194,0.9951,0.7588,0.861,611.88,253.88,0.854457,False
GB-18-GA,123,0.9746576420741471,0.5,0.9566881293852584,0.47487467305981407,2221,11,553,194,0.9951,0.7588,0.861,611.88,253.88,0.913989,False
GB-18-GA,999,0.9713293771286314,0.5,0.9561245224549983,0.6531558327331847,2221,11,553,192,0.9951,0.7588,0.861,611.84,253.84,0.668816,False
GB-18-GA,2025,0.9708110882596259,0.5,0.9568102940698192,0.15656249752321647,2221,11,553,194,0.9951,0.7588,0.861,611.88,253.88,0.73424,False
