"threshold","model_predicted","model_tp","model_fp","model_precision","model_recall_within_candidates","final_predicted_including_exact","final_tp_including_exact","final_precision_including_exact","final_recall_global"
"0.95","94442","11349","83093","0.12016899260922047","0.8350378927231256","106845","23689","0.2217136974121391","0.8100742057928393"
"0.97","31093","10477","20616","0.3369568713215193","0.7708777867706571","43496","22817","0.5245769725951812","0.7802551037855213"
"0.98","8146","7284","862","0.8941811932236681","0.5359429033919506","20549","19624","0.9549856440702711","0.671066580036248"
"0.985","8145","7284","861","0.8942909760589318","0.5359429033919506","20548","19624","0.9550321199143469","0.671066580036248"
"0.99","8145","7284","861","0.8942909760589318","0.5359429033919506","20548","19624","0.9550321199143469","0.671066580036248"
"0.995","8144","7283","861","0.8942779960707269","0.535869325288794","20547","19623","0.9550299313768433","0.6710323838183497"
"0.999","2147","2119","28","0.9869585468095017","0.15591200058862484","14550","14459","0.993745704467354","0.4944431145915262"
