source_id,source_platform,rank,target_id,target_platform,fused_cosine,clip_cosine,face_cosine,clip_l2,face_l2,is_same_person
abahgat,twitter,16,seancoyne,twitter,0.813856,0.836922,0.790789,0.5711,0.646856,False
abahgat,twitter,17,ohadbarda,twitter,0.813176,0.841948,0.784405,0.562231,0.656651,False
abahgat,twitter,18,haivo,twitter,0.812955,0.831239,0.794671,0.580966,0.640826,False
abahgat,twitter,19,massimosaviotti,twitter,0.811369,0.837599,0.78514,0.569914,0.655531,False
abahgat,twitter,20,sudol,twitter,0.810911,0.829241,0.792581,0.584396,0.64408,False
abdisk,twitter,1,avinashconda,twitter,0.572573,0.811554,0.333592,0.613916,1.154477,False
abdisk,twitter,2,vaseem,twitter,0.550636,0.851905,0.249367,0.544233,1.225261,False
abdisk,twitter,3,jamesgoodnow,twitter,0.540983,0.807357,0.27461,0.620714,1.204484,False
abdisk,twitter,4,deepeshmd,twitter,0.540096,0.833582,0.246611,0.57692,1.227509,False
abdisk,twitter,5,sultangfx,twitter,0.534137,0.843522,0.224751,0.559424,1.24519,False
abdisk,twitter,6,pauloschiavon,twitter,0.521813,0.864488,0.179138,0.520601,1.281298,False
abdisk,twitter,7,alvarodequeiroz,twitter,0.519248,0.73664,0.301856,0.725755,1.181647,False
abdisk,twitter,8,almowhed,twitter,0.518535,0.803765,0.233304,0.626474,1.238302,False
abdisk,twitter,9,suvrobanerji,twitter,0.516405,0.775601,0.257209,0.669923,1.218845,False
abdisk,twitter,10,marianosanfilippo,twitter,0.514122,0.827813,0.200432,0.586835,1.26457,False
abdisk,twitter,11,ricardoanton,twitter,0.512668,0.858574,0.166762,0.531838,1.290921,False
abdisk,twitter,12,omaralamoudi,twitter,0.512483,0.816637,0.208329,0.605579,1.258309,False
abdisk,twitter,13,kylewiebalk,twitter,0.511442,0.803924,0.21896,0.62622,1.249832,False
abdisk,twitter,14,lovlesh,twitter,0.51114,0.815532,0.206747,0.607402,1.259566,False
abdisk,twitter,15,ruanalmeida,twitter,0.510365,0.800813,0.219918,0.631169,1.249066,False
abdisk,twitter,16,arlindopereira,twitter,0.510086,0.820517,0.199654,0.599137,1.265184,False
abdisk,twitter,17,venkatsrao,twitter,0.509125,0.710715,0.307534,0.760638,1.176831,False
abdisk,twitter,18,stormy86,twitter,0.502263,0.786302,0.218225,0.653755,1.25042,False
abdisk,twitter,19,naveenkonduri,twitter,0.501615,0.769839,0.233392,0.678471,1.238231,False
abdisk,twitter,20,igorbotelho,twitter,0.496411,0.730661,0.26216,0.733947,1.214776,False
abdullawissam,twitter,1,ranjiththomas,twitter,0.602171,0.832696,0.371646,0.578454,1.12103,False
abdullawissam,twitter,2,jaimerojasandaur,twitter,0.597898,0.848866,0.34693,0.549789,1.142864,False
abdullawissam,twitter,3,paulerland,twitter,0.584582,0.789435,0.37973,0.648946,1.113796,False
abdullawissam,twitter,4,stormy86,twitter,0.580832,0.836611,0.325053,0.571644,1.161849,False
abdullawissam,twitter,5,ekafri,twitter,0.570787,0.782995,0.35858,0.658795,1.132625,False
abdullawissam,twitter,6,alvaropascual84,twitter,0.569669,0.786936,0.352402,0.652785,1.138067,False
abdullawissam,twitter,7,alexstoica,twitter,0.560223,0.802127,0.31832,0.629084,1.16763,False
abdullawissam,twitter,8,vaseem,twitter,0.559701,0.858565,0.260836,0.531856,1.215865,False
abdullawissam,twitter,9,marianosanfilippo,twitter,0.559299,0.854495,0.264102,0.539453,1.213176,False
abdullawissam,twitter,10,suvrobanerji,twitter,0.558559,0.865964,0.251154,0.517757,1.223802,False
abdullawissam,twitter,11,ssalazars,twitter,0.558233,0.785902,0.330565,0.654367,1.157095,False
abdullawissam,twitter,12,dolmisani,twitter,0.55622,0.839016,0.273425,0.567422,1.205467,False
abdullawissam,twitter,13,sultangfx,twitter,0.554773,0.865653,0.243893,0.518357,1.229721,False
abdullawissam,twitter,14,kamalbadawy,twitter,0.553117,0.81804,0.288193,0.603257,1.193153,False
abdullawissam,twitter,15,pauloschiavon,twitter,0.552833,0.849592,0.256074,0.548466,1.219775,False
abdullawissam,twitter,16,nicolashayek,twitter,0.551995,0.727889,0.376101,0.737714,1.117049,False
abdullawissam,twitter,17,alexsablan,twitter,0.551197,0.777068,0.325325,0.66773,1.161615,False
abdullawissam,twitter,18,omaralamoudi,twitter,0.55119,0.891562,0.210819,0.4657,1.256329,False
abdullawissam,twitter,19,deepeshmd,twitter,0.550143,0.814879,0.285406,0.608475,1.195486,False
abdullawissam,twitter,20,ajma,twitter,0.549997,0.778247,0.321746,0.665963,1.164692,False
abo1bs,twitter,1,vicaso,twitter,0.926586,0.861495,0.991677,0.526317,0.129022,False
abo1bs,twitter,2,johnkaminski,twitter,0.914437,0.841974,0.986899,0.562184,0.16187,False
abo1bs,twitter,3,djquietstorm,twitter,0.910397,0.835131,0.985663,0.574228,0.169333,False
abo1bs,twitter,4,anesanmiguel,twitter,0.906026,0.82919,0.982862,0.584483,0.185137,False
