experiment,seed,generation,objective_val_cost,val_cost,t_m,t_r,c_promote,c_demote
GB-18-GA,42,29,253.88,611.88,0.9733,0.5,0.9567,0.1188
GB-18-GA,42,30,253.88,611.88,0.9733,0.5,0.9567,0.1188
GB-18-GA,42,31,253.88,611.88,0.9733,0.5,0.9567,0.1188
GB-18-GA,42,32,253.88,611.88,0.9733,0.5,0.9567,0.1188
GB-18-GA,42,33,253.88,611.88,0.9733,0.5,0.9567,0.1188
GB-18-GA,42,34,253.88,611.88,0.9733,0.5,0.9567,0.1188
GB-18-GA,42,35,253.88,611.88,0.9733,0.5,0.9567,0.1188
GB-18-GA,42,36,253.88,611.88,0.9733,0.5,0.9567,0.1188
GB-18-GA,42,37,253.88,611.88,0.9733,0.5,0.9567,0.1188
GB-18-GA,42,38,253.88,611.88,0.9733,0.5,0.9567,0.1188
GB-18-GA,42,39,253.88,611.88,0.9733,0.5,0.9567,0.1188
GB-18-GA,123,0,287.84,645.84,0.9909,0.7502,0.9586,0.5188
GB-18-GA,123,1,287.78,645.78,0.9889,0.7713,0.9586,0.4793
GB-18-GA,123,2,257.88,615.88,0.9842,0.5874,0.962,0.5188
GB-18-GA,123,3,255.02,613.02,0.9889,0.5056,0.9586,0.4793
GB-18-GA,123,4,255.02,613.02,0.9889,0.5056,0.9586,0.4793
GB-18-GA,123,5,255.02,613.02,0.9889,0.5056,0.9586,0.4793
GB-18-GA,123,6,254.2,612.2,0.9909,0.5,0.962,0.4806
GB-18-GA,123,7,254.04,612.04,0.9889,0.5,0.9586,0.4793
GB-18-GA,123,8,253.98,611.98,0.9805,0.5,0.9586,0.469
GB-18-GA,123,9,253.96,611.96,0.9747,0.5,0.9586,0.4793
GB-18-GA,123,10,253.96,611.96,0.9747,0.5,0.9586,0.4793
GB-18-GA,123,11,253.96,611.96,0.9747,0.5,0.9586,0.4793
GB-18-GA,123,12,253.92,611.92,0.9747,0.5,0.9572,0.4793
GB-18-GA,123,13,253.92,611.92,0.9747,0.5,0.9572,0.4793
GB-18-GA,123,14,253.88,611.88,0.9747,0.5,0.9567,0.4749
GB-18-GA,123,15,253.88,611.88,0.9747,0.5,0.9567,0.4749
GB-18-GA,123,16,253.88,611.88,0.9747,0.5,0.9567,0.4749
GB-18-GA,123,17,253.88,611.88,0.9747,0.5,0.9567,0.4749
GB-18-GA,123,18,253.88,611.88,0.9747,0.5,0.9567,0.4749
GB-18-GA,123,19,253.88,611.88,0.9747,0.5,0.9567,0.4749
GB-18-GA,123,20,253.88,611.88,0.9747,0.5,0.9567,0.4749
GB-18-GA,123,21,253.88,611.88,0.9747,0.5,0.9567,0.4749
GB-18-GA,123,22,253.88,611.88,0.9747,0.5,0.9567,0.4749
GB-18-GA,123,23,253.88,611.88,0.9747,0.5,0.9567,0.4749
GB-18-GA,123,24,253.88,611.88,0.9747,0.5,0.9567,0.4749
GB-18-GA,123,25,253.88,611.88,0.9747,0.5,0.9567,0.4749
GB-18-GA,123,26,253.88,611.88,0.9747,0.5,0.9567,0.4749
GB-18-GA,123,27,253.88,611.88,0.9747,0.5,0.9567,0.4749
GB-18-GA,123,28,253.88,611.88,0.9747,0.5,0.9567,0.4749
GB-18-GA,123,29,253.88,611.88,0.9747,0.5,0.9567,0.4749
GB-18-GA,123,30,253.88,611.88,0.9747,0.5,0.9567,0.4749
GB-18-GA,123,31,253.88,611.88,0.9747,0.5,0.9567,0.4749
GB-18-GA,123,32,253.88,611.88,0.9747,0.5,0.9567,0.4749
GB-18-GA,123,33,253.88,611.88,0.9747,0.5,0.9567,0.4749
GB-18-GA,123,34,253.88,611.88,0.9747,0.5,0.9567,0.4749
GB-18-GA,123,35,253.88,611.88,0.9747,0.5,0.9567,0.4749
GB-18-GA,123,36,253.88,611.88,0.9747,0.5,0.9567,0.4749
GB-18-GA,123,37,253.88,611.88,0.9747,0.5,0.9567,0.4749
GB-18-GA,123,38,253.88,611.88,0.9747,0.5,0.9567,0.4749
GB-18-GA,123,39,253.88,611.88,0.9747,0.5,0.9567,0.4749
GB-18-GA,999,0,288.06,646.06,0.9109,0.5576,0.9561,0.5856
GB-18-GA,999,1,276.12,634.12,0.9814,0.6013,0.9979,0.2472
GB-18-GA,999,2,275.54,633.54,0.977,0.6488,0.9735,0.2631
GB-18-GA,999,3,254.98,612.98,0.9951,0.5443,0.9561,0.3579
GB-18-GA,999,4,254.98,612.98,0.9951,0.5443,0.9561,0.3579
GB-18-GA,999,5,254.98,612.98,0.9951,0.5443,0.9561,0.3579
GB-18-GA,999,6,254.12,612.12,0.9713,0.5,0.9649,0.5986
GB-18-GA,999,7,253.88,611.88,0.9713,0.5,0.9561,0.5986
GB-18-GA,999,8,253.88,611.88,0.9713,0.5,0.9561,0.5986
GB-18-GA,999,9,253.88,611.88,0.9713,0.5,0.9561,0.5986
GB-18-GA,999,10,253.86,611.86,0.9713,0.5,0.9561,0.6065
GB-18-GA,999,11,253.86,611.86,0.9713,0.5,0.9561,0.6065
GB-18-GA,999,12,253.86,611.86,0.9713,0.5,0.9561,0.6065
GB-18-GA,999,13,253.86,611.86,0.9713,0.5,0.9561,0.6065
GB-18-GA,999,14,253.86,611.86,0.9713,0.5,0.9561,0.6065
GB-18-GA,999,15,253.86,611.86,0.9713,0.5,0.9561,0.6065
GB-18-GA,999,16,253.84,611.84,0.9713,0.5,0.9561,0.6532
GB-18-GA,999,17,253.84,611.84,0.9713,0.5,0.9561,0.6532
GB-18-GA,999,18,253.84,611.84,0.9713,0.5,0.9561,0.6532
GB-18-GA,999,19,253.84,611.84,0.9713,0.5,0.9561,0.6532
GB-18-GA,999,20,253.84,611.84,0.9713,0.5,0.9561,0.6532
GB-18-GA,999,21,253.84,611.84,0.9713,0.5,0.9561,0.6532
GB-18-GA,999,22,253.84,611.84,0.9713,0.5,0.9561,0.6532
GB-18-GA,999,23,253.84,611.84,0.9713,0.5,0.9561,0.6532
GB-18-GA,999,24,253.84,611.84,0.9713,0.5,0.9561,0.6532
GB-18-GA,999,25,253.84,611.84,0.9713,0.5,0.9561,0.6532
GB-18-GA,999,26,253.84,611.84,0.9713,0.5,0.9561,0.6532
GB-18-GA,999,27,253.84,611.84,0.9713,0.5,0.9561,0.6532
GB-18-GA,999,28,253.84,611.84,0.9713,0.5,0.9561,0.6532
GB-18-GA,999,29,253.84,611.84,0.9713,0.5,0.9561,0.6532
GB-18-GA,999,30,253.84,611.84,0.9713,0.5,0.9561,0.6532
GB-18-GA,999,31,253.84,611.84,0.9713,0.5,0.9561,0.6532
GB-18-GA,999,32,253.84,611.84,0.9713,0.5,0.9561,0.6532
GB-18-GA,999,33,253.84,611.84,0.9713,0.5,0.9561,0.6532
GB-18-GA,999,34,253.84,611.84,0.9713,0.5,0.9561,0.6532
GB-18-GA,999,35,253.84,611.84,0.9713,0.5,0.9561,0.6532
GB-18-GA,999,36,253.84,611.84,0.9713,0.5,0.9561,0.6532
GB-18-GA,999,37,253.84,611.84,0.9713,0.5,0.9561,0.6532
GB-18-GA,999,38,253.84,611.84,0.9713,0.5,0.9561,0.6532
GB-18-GA,999,39,253.84,611.84,0.9713,0.5,0.9561,0.6532
GB-18-GA,2025,0,288.08,646.08,0.9165,0.5614,0.987,0.2543
GB-18-GA,2025,1,276.1,634.1,0.9708,0.6718,0.9951,0.2336
GB-18-GA,2025,2,255.22,613.22,0.999,0.5591,0.9655,0.2933
GB-18-GA,2025,3,255.08,613.06,0.9708,0.5614,0.9632,0.2021
GB-18-GA,2025,4,255.04,613.04,0.9917,0.5591,0.9582,0.2543
GB-18-GA,2025,5,254.92,612.92,0.9724,0.563,0.9591,0.3019
GB-18-GA,2025,6,254.9,612.9,0.9708,0.5591,0.9582,0.2021
GB-18-GA,2025,7,254.9,612.9,0.9708,0.5591,0.9582,0.2021
GB-18-GA,2025,8,254.9,612.9,0.9708,0.5591,0.9582,0.2021
GB-18-GA,2025,9,254.84,612.84,0.9724,0.563,0.9561,0.3193
GB-18-GA,2025,10,254.84,612.84,0.9724,0.563,0.9561,0.3193
GB-18-GA,2025,11,254.84,612.84,0.9724,0.563,0.9561,0.3193
GB-18-GA,2025,12,254.84,612.84,0.9724,0.563,0.9561,0.3193
GB-18-GA,2025,13,254.84,612.84,0.9724,0.563,0.9561,0.3193
GB-18-GA,2025,14,253.88,611.88,0.9708,0.5,0.9568,0.1566
GB-18-GA,2025,15,253.88,611.88,0.9708,0.5,0.9568,0.1566
GB-18-GA,2025,16,253.88,611.88,0.9708,0.5,0.9568,0.1566
GB-18-GA,2025,17,253.88,611.88,0.9708,0.5,0.9568,0.1566
GB-18-GA,2025,18,253.88,611.88,0.9708,0.5,0.9568,0.1566
GB-18-GA,2025,19,253.88,611.88,0.9708,0.5,0.9568,0.1566
GB-18-GA,2025,20,253.88,611.88,0.9708,0.5,0.9568,0.1566
GB-18-GA,2025,21,253.88,611.88,0.9708,0.5,0.9568,0.1566
GB-18-GA,2025,22,253.88,611.88,0.9708,0.5,0.9568,0.1566
GB-18-GA,2025,23,253.88,611.88,0.9708,0.5,0.9568,0.1566
GB-18-GA,2025,24,253.88,611.88,0.9708,0.5,0.9568,0.1566
GB-18-GA,2025,25,253.88,611.88,0.9708,0.5,0.9568,0.1566
GB-18-GA,2025,26,253.88,611.88,0.9708,0.5,0.9568,0.1566
GB-18-GA,2025,27,253.88,611.88,0.9708,0.5,0.9568,0.1566
GB-18-GA,2025,28,253.88,611.88,0.9708,0.5,0.9568,0.1566
GB-18-GA,2025,29,253.88,611.88,0.9708,0.5,0.9568,0.1566
GB-18-GA,2025,30,253.88,611.88,0.9708,0.5,0.9568,0.1566
GB-18-GA,2025,31,253.88,611.88,0.9708,0.5,0.9568,0.1566
GB-18-GA,2025,32,253.88,611.88,0.9708,0.5,0.9568,0.1566
GB-18-GA,2025,33,253.88,611.88,0.9708,0.5,0.9568,0.1566
GB-18-GA,2025,34,253.88,611.88,0.9708,0.5,0.9568,0.1566
GB-18-GA,2025,35,253.88,611.88,0.9708,0.5,0.9568,0.1566
GB-18-GA,2025,36,253.88,611.88,0.9708,0.5,0.9568,0.1566
GB-18-GA,2025,37,253.88,611.88,0.9708,0.5,0.9568,0.1566
GB-18-GA,2025,38,253.88,611.88,0.9708,0.5,0.9568,0.1566
GB-18-GA,2025,39,253.88,611.88,0.9708,0.5,0.9568,0.1566
