experiment,seed,t_m,t_r,c_promote,c_demote,validation_TP,validation_FP,validation_FN,validation_REVIEW,validation_precision,validation_recall,validation_F1,val_cost,objective_val_cost,runtime_seconds,test_labels_accessed
GB-18-GA,7,0.9365840947496185,0.5014936968208303,0.9202098453076174,0.09506372915079553,1353,5,378,53,0.9963,0.4622,0.6315,404.06,46.06,0.00381,False
GB-18-GA,42,0.999,0.6418103872519474,0.9608596315630417,0.5085094888084053,1349,0,378,62,1.0,0.4609,0.631,379.24,21.24,0.004442,False
GB-18-GA,123,0.9815999180136438,0.5855051853500381,0.9616724990135281,0.40835460533863405,1349,0,378,62,1.0,0.4609,0.631,379.24,21.24,0.006955,False
GB-18-GA,999,0.9169397986089413,0.8607698243268824,0.5708907708888395,0.3667372227962953,1256,0,485,0,1.0,0.4291,0.6005,485.0,127.0,0.005713,False
GB-18-GA,2025,0.977807470632768,0.561374571591593,0.9660591310946436,0.5327501015659476,1349,0,378,62,1.0,0.4609,0.631,379.24,21.24,0.006946,False
